,Category,Question
0,Comparisons, karma heavier sonam. dorji weighs less sonam. dawa heavier dorji lighter sonam. which following statements not true?
1,Percentages," bumthang located central bhutan some bumthaps (people bumthang) can speak sharchop some can speak khengkha. if 70% bumthaps speaks sharchop 60% bumthaps speaks khengkha, what minimum percentage khengkha speaking bumthaps also speak sharchop?"
2,Logic, time day. london (united kingdom) when 3:00 pm tokyo (japan). assume tokyo time 3 hours ahead thimphu (bhutan) time.
3,Logic, look number logic study sequence carefully. will required to correctly guess next sequence number. 1 3 5 7 9 next sequence number should be….
4,Probability," five teams from thimphu’s schools participating summer school football league. if each team plays other teams 2 times, total number games league will play …"
5,Logic," karma needs to transport dog, duck corn boat across river. boat capable transporting karma one other three each crossing. karma succeeded crossing them all without letting dog eat duck duck eat corn. which following sequence events made him possible crossing them all"
6,Percentages," tandin pays 50% his monthly income house rent 25% loan repayment. spends nu. 2,000 food drinks. still saves nu. 5,000 per month deposits into his saving account. what tandin’s monthly income?"
7,Algebra," tobgay wants to travel from paro to bagdogra india. had two options to reach bagdogra from paro. can either travel by air which takes 30 minutes by taxi which takes 10 hours. air ticket will cost him nu. 5,000 taxi fare will costs him nu. 1,250. other things remaining constant, tobgay would gain by choosing air travel if, only if, his time were valued more than:"
8,Logic, identify two statements necessary to make statement “a south-west to c” true. a. two miles south b. b. b two miles east d. c. c two miles east b. d. d north-west a. two correct statements are:
9,Comparisons, six electronic items stacked cupboard divided into several racks. mobile phone rack right above ipod laptop rack right below micro oven. micro oven rack right above mobile phone ipod shares rack with headphones. rice cooker kept lowest rack. which item topmost
10,General Knowledge," when heavy object lifted under water, easier to lift lifting same object air. which following best provide reasons this?"
11,Comparisons," four defenders football match — defender a, defender b, defender c & defender d — take positions order row from right to left. during match, defender changes places with defender c defender c changes places with defender b. which defender now right end row?"
12,General Knowledge, progress meets needs present generations without compromising ability future generations to meet own needs called:
13,Percentages," classroom 125 students, 75 male students. what percent classroom female"
14,General Knowledge, which following best describes difference between gross domestic product (gdp) gross national product (gnp)?
15,Fractions," look pictures carefully. if each car carries 3 passengers each bus carries 20 passengers except 3 buses which carries only 18 passengers each, ratio passengers travelling by buses to total passengers is:"
16,General Knowledge, which following best describes difference between person’s curriculum vitae (cv) resume?
17,Fractions, sonam pema were given apple pie each. sonam ate 2/3 pie pema ate 3/4 . what portion pie did eat altogether?
18,Algebra," price commodity increased 8 points, decreased 13 points, increased 9 points. if commodity price before changes x points, which following commodity price, points, after changes?"
19,Comparisons," pema, who sixteen years old, four times old her brother sonam. how old will pema when pema twice old her brother sonam?"
20,Fractions, choose number 1/4 half 1/5 200?
21,Logic, if arrange letters “lngedna” have name (n):
22,Comparisons, deki shorter pema taller kesang. kesang taller yangzom. who tallest?
23,Logic, which one four choices makes best comparison? peach to hcaep 46251 to:
24,Percentages, value company share drops from nu 100 per share to nu 96 per share. what percent decrease?
25,General Knowledge, economic efficiency economy requires:
26,Probability, how many ways can letter solving rearranged to make 7 letter words such none letters repeat?
27,Logic, what missing letter series: b e h k n ? t
28,Logic," if: 2, 3 = 10 7, 2 = 63 6, 5 = 66 8 ,4 = 96 9 ,7 =……."
29,Algebra, average age group 5 students 10. average age increased by 4 years when 2 new students joined group. what average age two new students who joined group?
30,Percentages, number increases from 20 to 30 decreases from 30 to 20. compare percent increase from 20 to 30 decrease from 30 to 20. from following which following statement true:
31,Logic," if unscramble letters ykane, will get name a:"
32,Algebra, how many times can subtract 20 from 200?
33,Percentages, 3 80% what number?
34,Fractions, twenty four students certain class. every nine girls three boys. how many girls how many boys class?
35,Comparisons, horse race dawa came ahead pema. dawa finished after tashi. sonam beat tashi finished after rinzin. where did sonam finish?
36,Logic, what missing letter series: g ? d j d k l d
37,Logic," if unscramble letters itnka, will get name an:"
38,Comparisons," penjore, choki, lhamo dorji speak many languages. penjore choki speak chinese, whereas others speak arabic. choki dorji speak albanian. everyone except penjore speaks hindi. who only speaks arabic hindi?"
39,General Knowledge," if selki’s job to recruit, develop manage staff her organization, which among following her designation?"
40,Comparisons, pema dorji kesang choden two children big family. pema dorji has thrice many sisters has brothers. kesang choden has two less brothers has sisters. how many children family?
41,Probability," five teams from thimphu’s schools participating summer school football league. if each team plays other teams 2 times, total number games league will play"
42,Logic, identify two statements necessary to make statement “a south-west to c” true. a) two miles south b. b) b two miles east d. c) c two miles east b. d) d north-west a. two correct statements are:
43,Logic, what missing letter series: z b ? c x
44,Fractions," if b midpoint line segment ad c midpoint line segment bd, what value ab/ac?"
45,Logic, which one four choices makes best comparison? fingers to hand leaf to:
46,Probability," if roll fair-sided die twice, what probability getting double?"
47,Logic, name 3-digit number. ones digit even number which three times much tens digit. tens digit same hundreds digit. sum all digits 10. which number i?
48,Logic, what missing letter: f d g l j ___
49,Logic," read statements given below answer question follows. fact 1: tissot watches cost between nu. 1000 nu. 10,000. fact 2: some tissot watches have titanium frames. fact 3: some tissot watches have steel frames. if above three statements facts, which following statements must also fact? i. tissot watches with titanium frames cost more one with steel frames. ii. expensive tissot watches last longer cheap ones. iii. only few tissot watches cost less nu. 1000."
50,Fractions, which fraction greater ½ ?
51,Logic," if unscramble letters ‘akbslltaeb’, will get name"
52,Algebra," if object travels five feet second, how many feet will travel 1 hour?"
53,Probability," basket contains 55 apples. apples red green colour. 20 apples green colour. if sonam randomly picks apple, what probability picks red apple?"
54,Percentages," dorji earns nu. 15000 month. his family uses one lpg cylinder month. if one lpg cylinder costs nu. 1200, what percentage his monthly salary spent cooking?"
55,Fractions, if a/b=0.25. what negative value reciprocal fraction a/b?
56,Algebra, if speed = distance/ time. which following formula true? (i) distance= speed * time (ii) time = distance / speed (iii) distance = speed / time (iv) time = distance * speed
57,Algebra, how many two digit numbers multiples both 7 4?
58,Algebra," car parking along norzin lam charged flat x ngultrum any amount time up to three hours, 1/5 x ngultrum each hour fraction hour after first three hours. how much does cost to park 5 hours 30 minutes?"
59,Percentages," family, sonam weighs twice much choden. choden’s weight 90% karma’s. deki’s weight 120% karma’s. who heaviest family?"
60,Algebra," 20 unskilled workers can finish job 50 hours. same job can finished by 25 skilled workers 20 hours. if 10 unskilled 10 skilled workers employed, how long will take to complete same job?"
61,Algebra," piece wood 10 meters long cut into three smaller pieces. if first one 2.7 meters second one 3.5 meters longer third one, how long shortest three pieces?"
62,Fractions," two numbers ratio 10:7. if sum numbers 34, what smaller"
63,Fractions," shop, every pant 3 shirts every 9 shirts 27 pairs shoes. express ratio pants to shirts to shoes store."
64,Percentages," person x bought car nu. 500,000. sold to person y 20% profit. person y turn sold car to person z 20% profit. what person y’s profit terms person x’s"
65,Algebra," deki can carry 6 cartoons milk. if 32 boxes cartoons her ware house, how many full trips does have to make her to transport all cartoons milk from ware house to her shop?"
66,Percentages, pass percentage school stands 95% with 570 students passing annual examinations. how many more students school would have to pass to raise pass percentage to 98%?
67,Fractions," weight object planet x twice weight earth one third weight planet y. if object earth weighs 100 units, what weight planet y?"
68,Comparisons," four men trying to catch crazy bull. jigme directly behind bull. rinzin behind jigme. rada behind rinzin. migmar ahead bull walking down street opposite direction. men bull run, migmar turns around joins team. runs behind rinzin. jigme runs faster alongside bull left. rinzin runs faster alongside bull right. which man directly behind bull?"
